level,scene,player_instance,flags_antes,action,runtime_smoke_depois
L001,scenes/levels/Floresta_Putrefata.tscn,Koliani parent=.,canonical,none,OK
L002,scenes/levels/Pantano_dos_Sussurros.tscn,Koliani parent=.,canonical,none,OK
L003,scenes/levels/Ninho_da_Viuva_Negra.tscn,Koliani parent=.,canonical,none,OK
L004,scenes/levels/A_Arvore_que_Chora.tscn,Koliani parent=.,canonical,none,OK
L005,scenes/levels/Coracao_da_Floresta.tscn,Koliani parent=.,canonical,none,OK
L006,scenes/levels/Prisao_dos_Condenados.tscn,Koliani parent=.,canonical,none,OK
L007,scenes/levels/Fornalha_dos_Pecadores.tscn,Koliani parent=.,canonical,none,OK
L008,scenes/levels/Corredor_das_Execucoes.tscn,Koliani parent=.,canonical,none,OK
L009,scenes/levels/Ala_dos_Mortos.tscn,Koliani parent=.,canonical,none,OK
L010,scenes/levels/A_Cela_Zero.tscn,Koliani parent=.,canonical,none,OK
L011,scenes/levels/Torre_dos_Sinos.tscn,Koliani parent=.,canonical,none,OK
L012,scenes/levels/Torre_dos_Ventos.tscn,Koliani parent=.,canonical,none,OK
L013,scenes/levels/Torre_da_Tempestade.tscn,Koliani parent=.,canonical,none,OK
L014,scenes/levels/Observatorio_Lunar.tscn,Koliani parent=.,canonical,none,OK
L015,scenes/levels/O_Pico_Esquecido.tscn,Koliani parent=.,canonical,none,OK
L016,scenes/levels/Cemiterio_dos_Reis.tscn,Koliani parent=.,canonical,none,OK
L017,scenes/levels/Galeria_dos_Ossos.tscn,Koliani parent=.,canonical,none,OK
L018,scenes/levels/Cripta_das_Mil_Velas.tscn,Koliani parent=.,canonical,none,OK
L019,scenes/levels/Templo_da_Serpente.tscn,Koliani parent=.,canonical,none,OK
L020,scenes/levels/O_Abismo.tscn,Koliani parent=.,canonical,none,OK
L021,scenes/levels/Vila_dos_Sem_Rosto.tscn,Koliani parent=.,canonical,none,OK
L022,scenes/levels/Mercado_da_Carne.tscn,Koliani parent=.,canonical,none,OK
L023,scenes/levels/Trem_dos_Mortos.tscn,Koliani parent=.,canonical,none,OK
L024,scenes/levels/Catedral_da_Corrupcao.tscn,Koliani parent=.,canonical,none,OK
L025,scenes/levels/Praca_do_Eclipse.tscn,Koliani parent=.,canonical,none,OK
L026,scenes/levels/Portoes_de_Zeriko.tscn,Koliani parent=.,canonical,none,OK
L027,scenes/levels/Salao_dos_Espelhos.tscn,Koliani parent=.,canonical,none,OK
L028,scenes/levels/Banquete_dos_Imortais.tscn,Koliani parent=.,canonical,none,OK
L029,scenes/levels/Torre_do_Coracao_Negro.tscn,Koliani parent=.,canonical,none,OK
L030,scenes/levels/O_Trono_de_Zeriko.tscn,Koliani parent=.,canonical,none,OK
L031,scenes/levels/Estrada_das_Cinzas.tscn,Koliani parent=.,canonical,none,OK
L032,scenes/levels/Rio_de_Magma.tscn,Koliani parent=.,canonical,none,OK
L033,scenes/levels/A_Forja_dos_Demonios.tscn,Koliani parent=.,canonical,none,OK
L034,scenes/levels/Vulcao_do_Rei_Morto.tscn,Koliani parent=.,canonical,none,OK
L035,scenes/levels/O_Ceu_em_Chamas.tscn,Koliani parent=.,canonical,none,OK
L036,scenes/levels/Porto_dos_Afogados.tscn,Koliani parent=.,canonical,none,OK
L037,scenes/levels/Cidade_Submersa.tscn,Koliani parent=.,canonical,none,OK
L038,scenes/levels/Palacio_das_Sereias_Mortas.tscn,Koliani parent=.,canonical,none,OK
L039,scenes/levels/Ossario_das_Baleias.tscn,Koliani parent=.,canonical,none,OK
L040,scenes/levels/Abismo_Oceanico.tscn,Koliani parent=.,canonical,none,OK
L041,scenes/levels/Floresta_Congelada.tscn,Koliani parent=.,canonical,none,OK
L042,scenes/levels/Montanha_dos_Ventos.tscn,Koliani parent=.,canonical,none,OK
L043,scenes/levels/Cavernas_Cristalinas.tscn,Koliani parent=.,canonical,none,OK
L044,scenes/levels/Castelo_Congelado.tscn,Koliani parent=.,canonical,none,OK
L045,scenes/levels/Coracao_do_Inverno.tscn,Koliani parent=.,canonical,none,OK
L046,scenes/levels/Mar_de_Areia.tscn,Koliani parent=.,canonical,none,OK
L047,scenes/levels/Templo_Sem_Nome.tscn,Koliani parent=.,canonical,none,OK
L048,scenes/levels/Vale_dos_Escorpioes.tscn,Koliani parent=.,canonical,none,OK
L049,scenes/levels/Cidade_Enterrada.tscn,Koliani parent=.,canonical,none,OK
L050,scenes/levels/Piramide_Negra.tscn,Koliani parent=.,canonical,none,OK
L051,scenes/levels/Jardim_das_Rosas_Negras.tscn,Koliani parent=.,canonical,none,OK
L052,scenes/levels/Labirinto_Verde.tscn,Koliani parent=.,canonical,none,OK
L053,scenes/levels/Jardim_das_Almas.tscn,Koliani parent=.,canonical,none,OK
L054,scenes/levels/Estufa_Maldita.tscn,Koliani parent=.,canonical,none,OK
L055,scenes/levels/Arvore_do_Rei.tscn,Koliani parent=.,canonical,none,OK
L056,scenes/levels/Distrito_das_Engrenagens.tscn,Koliani parent=.,canonical,none,OK
